HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals,Result
France,Mexico,1930,4,1,5,win
Argentina,France,1930,1,0,1,win
Chile,Mexico,1930,3,0,3,win
Chile,France,1930,1,0,1,win
Argentina,Mexico,1930,6,3,9,win
Argentina,Chile,1930,3,1,4,win
Yugoslavia,Brazil,1930,2,1,3,win
Yugoslavia,Bolivia,1930,4,0,4,win
Brazil,Bolivia,1930,4,0,4,win
Romania,Peru,1930,3,1,4,win
Uruguay,Peru,1930,1,0,1,win
Uruguay,Romania,1930,4,0,4,win
United States,Belgium,1930,3,0,3,win
United States,Paraguay,1930,3,0,3,win
Paraguay,Belgium,1930,1,0,1,win
Argentina,United States,1930,6,1,7,win
Uruguay,Yugoslavia,1930,6,1,7,win
Uruguay,Argentina,1930,4,2,6,win
Spain,Brazil,1934,3,1,4,win
Hungary,Egypt,1934,4,2,6,win
Switzerland,Netherlands,1934,3,2,5,win
Italy,United States,1934,7,1,8,win
Czechoslovakia,Romania,1934,2,1,3,win
Sweden,Argentina,1934,3,2,5,win
Austria,France,1934,3,2,5,win
Germany,Belgium,1934,5,2,7,win
Austria,Hungary,1934,2,1,3,win
Italy,Spain,1934,1,1,2,draw
Germany,Sweden,1934,2,1,3,win
Czechoslovakia,Switzerland,1934,3,2,5,win
Italy,Spain,1934,1,0,1,win
Italy,Austria,1934,1,0,1,win
Czechoslovakia,Germany,1934,3,1,4,win
Germany,Austria,1934,3,2,5,win
Italy,Czechoslovakia,1934,2,1,3,win
Switzerland,Germany,1938,1,1,2,draw
Hungary,Dutch East Indies,1938,6,0,6,win
Cuba,Romania,1938,3,3,6,draw
France,Belgium,1938,3,1,4,win
Italy,Norway,1938,2,1,3,win
Brazil,Poland,1938,6,5,11,win
Czechoslovakia,Netherlands,1938,3,0,3,win
Switzerland,Germany,1938,4,2,6,win
Cuba,Romania,1938,2,1,3,win
Hungary,Switzerland,1938,2,0,2,win
Sweden,Cuba,1938,8,0,8,win
Italy,France,1938,3,1,4,win
Brazil,Czechoslovakia,1938,1,1,2,draw
Brazil,Czechoslovakia,1938,2,1,3,win
Hungary,Sweden,1938,5,1,6,win
Italy,Brazil,1938,2,1,3,win
Brazil,Sweden,1938,4,2,6,win
Italy,Hungary,1938,4,2,6,win
Brazil,Mexico,1950,4,0,4,win
Yugoslavia,Switzerland,1950,3,0,3,win
Brazil,Switzerland,1950,2,2,4,draw
Yugoslavia,Mexico,1950,4,1,5,win
Brazil,Yugoslavia,1950,2,0,2,win
Switzerland,Mexico,1950,2,1,3,win
England,Chile,1950,2,0,2,win
Spain,United States,1950,3,1,4,win
Spain,Chile,1950,2,0,2,win
United States,England,1950,1,0,1,win
Spain,England,1950,1,0,1,win
Chile,United States,1950,5,2,7,win
Sweden,Italy,1950,3,2,5,win
Sweden,Paraguay,1950,2,2,4,draw
Italy,Paraguay,1950,2,0,2,win
Uruguay,Bolivia,1950,8,0,8,win
Uruguay,Spain,1950,2,2,4,draw
Brazil,Sweden,1950,7,1,8,win
Brazil,Spain,1950,6,1,7,win
Uruguay,Sweden,1950,3,2,5,win
Sweden,Spain,1950,3,1,4,win
Uruguay,Brazil,1950,2,1,3,win
Brazil,Mexico,1954,5,0,5,win
Yugoslavia,France,1954,1,0,1,win
Brazil,Yugoslavia,1954,1,1,2,draw
France,Mexico,1954,3,2,5,win
West Germany,Turkey,1954,4,1,5,win
Hungary,South Korea,1954,9,0,9,win
Hungary,West Germany,1954,8,3,11,win
Turkey,South Korea,1954,7,0,7,win
West Germany,Turkey,1954,7,2,9,win
Uruguay,Czechoslovakia,1954,2,0,2,win
Austria,Scotland,1954,1,0,1,win
Uruguay,Scotland,1954,7,0,7,win
Austria,Czechoslovakia,1954,5,0,5,win
Switzerland,Italy,1954,2,1,3,win
England,Belgium,1954,4,4,8,draw
Italy,Belgium,1954,4,1,5,win
England,Switzerland,1954,2,0,2,win
Switzerland,Italy,1954,4,1,5,win
Austria,Switzerland,1954,7,5,12,win
Uruguay,England,1954,4,2,6,win
West Germany,Yugoslavia,1954,2,0,2,win
Hungary,Brazil,1954,4,2,6,win
West Germany,Austria,1954,6,1,7,win
Hungary,Uruguay,1954,4,2,6,win
Austria,Uruguay,1954,3,1,4,win
West Germany,Hungary,1954,3,2,5,win
Argentina,West Germany,1958,1,3,4,lose
Northern Ireland,Czechoslovakia,1958,1,0,1,win
West Germany,Czechoslovakia,1958,2,2,4,draw
Argentina,Northern Ireland,1958,3,1,4,win
West Germany,Northern Ireland,1958,2,2,4,draw
Czechoslovakia,Argentina,1958,6,1,7,win
Northern Ireland,Czechoslovakia,1958,2,1,3,win
France,Paraguay,1958,7,3,10,win
Yugoslavia,Scotland,1958,1,1,2,draw
Yugoslavia,France,1958,3,2,5,win
Paraguay,Scotland,1958,3,2,5,win
France,Scotland,1958,2,1,3,win
Paraguay,Yugoslavia,1958,3,3,6,draw
Sweden,Mexico,1958,3,0,3,win
Hungary,Wales,1958,1,1,2,draw
Mexico,Wales,1958,1,1,2,draw
Sweden,Hungary,1958,2,1,3,win
Sweden,Wales,1958,0,0,0,draw
Hungary,Mexico,1958,4,0,4,win
Wales,Hungary,1958,2,1,3,win
Brazil,Austria,1958,3,0,3,win
Soviet Union,England,1958,2,2,4,draw
Brazil,England,1958,0,0,0,draw
Soviet Union,Austria,1958,2,0,2,win
England,Austria,1958,2,2,4,draw
Brazil,Soviet Union,1958,2,0,2,win
Soviet Union,England,1958,1,0,1,win
Brazil,Wales,1958,1,0,1,win
France,Northern Ireland,1958,4,0,4,win
Sweden,Soviet Union,1958,2,0,2,win
West Germany,Yugoslavia,1958,1,0,1,win
Brazil,France,1958,5,2,7,win
Sweden,West Germany,1958,3,1,4,win
France,West Germany,1958,6,3,9,win
Brazil,Sweden,1958,5,2,7,win
Uruguay,Colombia,1962,2,1,3,win
Soviet Union,Yugoslavia,1962,2,0,2,win
Yugoslavia,Uruguay,1962,3,1,4,win
Soviet Union,Colombia,1962,4,4,8,draw
Soviet Union,Uruguay,1962,2,1,3,win
Yugoslavia,Colombia,1962,5,0,5,win
Chile,Switzerland,1962,3,1,4,win
West Germany,Italy,1962,0,0,0,draw
Chile,Italy,1962,2,0,2,win
West Germany,Switzerland,1962,2,1,3,win
West Germany,Chile,1962,2,0,2,win
Italy,Switzerland,1962,3,0,3,win
Brazil,Mexico,1962,2,0,2,win
Czechoslovakia,Spain,1962,1,0,1,win
Brazil,Czechoslovakia,1962,0,0,0,draw
Spain,Mexico,1962,1,0,1,win
Brazil,Spain,1962,2,1,3,win
Mexico,Czechoslovakia,1962,3,1,4,win
Argentina,Bulgaria,1962,1,0,1,win
Hungary,England,1962,2,1,3,win
England,Argentina,1962,3,1,4,win
Hungary,Bulgaria,1962,6,1,7,win
Hungary,Argentina,1962,0,0,0,draw
England,Bulgaria,1962,0,0,0,draw
Chile,Soviet Union,1962,2,1,3,win
Czechoslovakia,Hungary,1962,1,0,1,win
Brazil,England,1962,3,1,4,win
Yugoslavia,West Germany,1962,1,0,1,win
Czechoslovakia,Yugoslavia,1962,3,1,4,win
Brazil,Chile,1962,4,2,6,win
Chile,Yugoslavia,1962,1,0,1,win
Brazil,Czechoslovakia,1962,3,1,4,win
England,Uruguay,1966,0,0,0,draw
France,Mexico,1966,1,1,2,draw
Uruguay,France,1966,2,1,3,win
England,Mexico,1966,2,0,2,win
Mexico,Uruguay,1966,0,0,0,draw
England,France,1966,2,0,2,win
West Germany,Switzerland,1966,5,0,5,win
Argentina,Spain,1966,2,1,3,win
Spain,Switzerland,1966,2,1,3,win
Argentina,West Germany,1966,0,0,0,draw
Argentina,Switzerland,1966,2,0,2,win
West Germany,Spain,1966,2,1,3,win
Brazil,Bulgaria,1966,2,0,2,win
Portugal,Hungary,1966,3,1,4,win
Hungary,Brazil,1966,3,1,4,win
Portugal,Bulgaria,1966,3,0,3,win
Portugal,Brazil,1966,3,1,4,win
Hungary,Bulgaria,1966,3,1,4,win
Soviet Union,North Korea,1966,3,0,3,win
Italy,Chile,1966,2,0,2,win
Chile,North Korea,1966,1,1,2,draw
Soviet Union,Italy,1966,1,0,1,win
North Korea,Italy,1966,1,0,1,win
Soviet Union,Chile,1966,2,1,3,win
England,Argentina,1966,1,0,1,win
West Germany,Uruguay,1966,4,0,4,win
Soviet Union,Hungary,1966,2,1,3,win
Portugal,North Korea,1966,5,3,8,win
West Germany,Soviet Union,1966,2,1,3,win
England,Portugal,1966,2,1,3,win
Portugal,Soviet Union,1966,2,1,3,win
England,West Germany,1966,4,2,6,win
Mexico,Soviet Union,1970,0,0,0,draw
Belgium,El Salvador,1970,3,0,3,win
Soviet Union,Belgium,1970,4,1,5,win
Mexico,El Salvador,1970,4,0,4,win
Soviet Union,El Salvador,1970,2,0,2,win
Mexico,Belgium,1970,1,0,1,win
Uruguay,Israel,1970,2,0,2,win
Italy,Sweden,1970,1,0,1,win
Uruguay,Italy,1970,0,0,0,draw
Sweden,Israel,1970,1,1,2,draw
Sweden,Uruguay,1970,1,0,1,win
Italy,Israel,1970,0,0,0,draw
England,Romania,1970,1,0,1,win
Brazil,Czechoslovakia,1970,4,1,5,win
Romania,Czechoslovakia,1970,2,1,3,win
Brazil,England,1970,1,0,1,win
Brazil,Romania,1970,3,2,5,win
England,Czechoslovakia,1970,1,0,1,win
Peru,Bulgaria,1970,3,2,5,win
West Germany,Morocco,1970,2,1,3,win
Peru,Morocco,1970,3,0,3,win
West Germany,Bulgaria,1970,5,2,7,win
West Germany,Peru,1970,3,1,4,win
Bulgaria,Morocco,1970,1,1,2,draw
Soviet Union,Uruguay,1970,0,1,1,lose
Italy,Mexico,1970,4,1,5,win
Brazil,Peru,1970,4,2,6,win
West Germany,England,1970,3,2,5,win
Brazil,Uruguay,1970,3,1,4,win
Italy,West Germany,1970,4,3,7,win
West Germany,Uruguay,1970,1,0,1,win
Brazil,Italy,1970,4,1,5,win
West Germany,Chile,1974,1,0,1,win
East Germany,Australia,1974,2,0,2,win
Australia,West Germany,1974,0,3,3,lose
Chile,East Germany,1974,1,1,2,draw
Australia,Chile,1974,0,0,0,draw
East Germany,West Germany,1974,1,0,1,win
Brazil,Yugoslavia,1974,0,0,0,draw
Zaire,Scotland,1974,0,2,2,lose
Yugoslavia,Zaire,1974,9,0,9,win
Scotland,Brazil,1974,0,0,0,draw
Scotland,Yugoslavia,1974,1,1,2,draw
Zaire,Brazil,1974,0,3,3,lose
Uruguay,Netherlands,1974,0,2,2,lose
Sweden,Bulgaria,1974,0,0,0,draw
Bulgaria,Uruguay,1974,1,1,2,draw
Netherlands,Sweden,1974,0,0,0,draw
Bulgaria,Netherlands,1974,1,4,5,lose
Sweden,Uruguay,1974,3,0,3,win
Italy,Haiti,1974,3,1,4,win
Poland,Argentina,1974,3,2,5,win
Argentina,Italy,1974,1,1,2,draw
Haiti,Poland,1974,0,7,7,lose
Argentina,Haiti,1974,4,1,5,win
Poland,Italy,1974,2,1,3,win
Netherlands,Argentina,1974,4,0,4,win
Brazil,East Germany,1974,1,0,1,win
Argentina,Brazil,1974,1,2,3,lose
East Germany,Netherlands,1974,0,2,2,lose
Argentina,East Germany,1974,1,1,2,draw
Netherlands,Brazil,1974,2,0,2,win
Yugoslavia,West Germany,1974,0,2,2,lose
Sweden,Poland,1974,0,1,1,lose
Poland,Yugoslavia,1974,2,1,3,win
West Germany,Sweden,1974,4,2,6,win
Poland,West Germany,1974,0,1,1,lose
Sweden,Yugoslavia,1974,2,1,3,win
Brazil,Poland,1974,0,1,1,lose
Netherlands,West Germany,1974,1,2,3,lose
Italy,France,1978,2,1,3,win
Argentina,Hungary,1978,2,1,3,win
Italy,Hungary,1978,3,1,4,win
Argentina,France,1978,2,1,3,win
France,Hungary,1978,3,1,4,win
Argentina,Italy,1978,0,1,1,lose
West Germany,Poland,1978,0,0,0,draw
Tunisia,Mexico,1978,3,1,4,win
West Germany,Mexico,1978,6,0,6,win
Poland,Tunisia,1978,1,0,1,win
West Germany,Tunisia,1978,0,0,0,draw
Poland,Mexico,1978,3,1,4,win
Austria,Spain,1978,2,1,3,win
Brazil,Sweden,1978,1,1,2,draw
Austria,Sweden,1978,1,0,1,win
Brazil,Spain,1978,0,0,0,draw
Spain,Sweden,1978,1,0,1,win
Brazil,Austria,1978,1,0,1,win
Peru,Scotland,1978,3,1,4,win
Netherlands,Iran,1978,3,0,3,win
Scotland,Iran,1978,1,1,2,draw
Netherlands,Peru,1978,0,0,0,draw
Peru,Iran,1978,4,1,5,win
Scotland,Netherlands,1978,3,2,5,win
Austria,Netherlands,1978,1,5,6,lose
Italy,West Germany,1978,0,0,0,draw
Netherlands,West Germany,1978,2,2,4,draw
Italy,Austria,1978,1,0,1,win
Austria,West Germany,1978,3,2,5,win
Italy,Netherlands,1978,1,2,3,lose
Brazil,Peru,1978,3,0,3,win
Argentina,Poland,1978,2,0,2,win
Peru,Poland,1978,0,1,1,lose
Argentina,Brazil,1978,0,0,0,draw
Brazil,Poland,1978,3,1,4,win
Argentina,Peru,1978,6,0,6,win
Brazil,Italy,1978,2,1,3,win
Argentina,Netherlands,1978,3,1,4,win
Italy,Poland,1982,0,0,0,draw
Peru,Cameroon,1982,0,0,0,draw
Italy,Peru,1982,1,1,2,draw
Poland,Cameroon,1982,0,0,0,draw
Poland,Peru,1982,5,1,6,win
Italy,Cameroon,1982,1,1,2,draw
West Germany,Algeria,1982,1,2,3,lose
Chile,Austria,1982,0,1,1,lose
West Germany,Chile,1982,4,1,5,win
Algeria,Austria,1982,0,2,2,lose
Algeria,Chile,1982,3,2,5,win
West Germany,Austria,1982,1,0,1,win
Argentina,Belgium,1982,0,1,1,lose
Hungary,El Salvador,1982,10,1,11,win
Argentina,Hungary,1982,4,1,5,win
Belgium,El Salvador,1982,1,0,1,win
Belgium,Hungary,1982,1,1,2,draw
Argentina,El Salvador,1982,2,0,2,win
England,France,1982,3,1,4,win
Czechoslovakia,Kuwait,1982,1,1,2,draw
England,Czechoslovakia,1982,2,0,2,win
France,Kuwait,1982,4,1,5,win
France,Czechoslovakia,1982,1,1,2,draw
England,Kuwait,1982,1,0,1,win
Spain,Honduras,1982,1,1,2,draw
Yugoslavia,Northern Ireland,1982,0,0,0,draw
Spain,Yugoslavia,1982,2,1,3,win
Honduras,Northern Ireland,1982,1,1,2,draw
Honduras,Yugoslavia,1982,0,1,1,lose
Spain,Northern Ireland,1982,0,1,1,lose
Brazil,Soviet Union,1982,2,1,3,win
Scotland,New Zealand,1982,5,2,7,win
Brazil,Scotland,1982,4,1,5,win
Soviet Union,New Zealand,1982,3,0,3,win
Soviet Union,Scotland,1982,2,2,4,draw
Brazil,New Zealand,1982,4,0,4,win
Poland,Belgium,1982,3,0,3,win
Belgium,Soviet Union,1982,0,1,1,lose
Soviet Union,Poland,1982,0,0,0,draw
West Germany,England,1982,0,0,0,draw
West Germany,Spain,1982,2,1,3,win
Spain,England,1982,0,0,0,draw
Italy,Argentina,1982,2,1,3,win
Argentina,Brazil,1982,1,3,4,lose
Italy,Brazil,1982,3,2,5,win
Austria,France,1982,0,1,1,lose
Austria,Northern Ireland,1982,2,2,4,draw
France,Northern Ireland,1982,4,1,5,win
Poland,Italy,1982,0,2,2,lose
West Germany,France,1982,3,3,6,draw
Poland,France,1982,3,2,5,win
Italy,West Germany,1982,3,1,4,win
Bulgaria,Italy,1986,1,1,2,draw
Argentina,South Korea,1986,3,1,4,win
Italy,Argentina,1986,1,1,2,draw
South Korea,Bulgaria,1986,1,1,2,draw
South Korea,Italy,1986,2,3,5,lose
Argentina,Bulgaria,1986,2,0,2,win
Belgium,Mexico,1986,1,2,3,lose
Paraguay,Iraq,1986,1,0,1,win
Mexico,Paraguay,1986,1,1,2,draw
Iraq,Belgium,1986,1,2,3,lose
Paraguay,Belgium,1986,2,2,4,draw
Iraq,Mexico,1986,0,1,1,lose
Canada,France,1986,0,1,1,lose
Soviet Union,Hungary,1986,6,0,6,win
France,Soviet Union,1986,1,1,2,draw
Hungary,Canada,1986,2,0,2,win
Hungary,France,1986,0,3,3,lose
Soviet Union,Canada,1986,2,0,2,win
Spain,Brazil,1986,0,1,1,lose
Algeria,Northern Ireland,1986,1,1,2,draw
Brazil,Algeria,1986,1,0,1,win
Northern Ireland,Spain,1986,1,2,3,lose
Northern Ireland,Brazil,1986,0,3,3,lose
Algeria,Spain,1986,0,3,3,lose
Uruguay,West Germany,1986,1,1,2,draw
Scotland,Denmark,1986,0,1,1,lose
West Germany,Scotland,1986,2,1,3,win
Denmark,Uruguay,1986,6,1,7,win
Denmark,West Germany,1986,2,0,2,win
Scotland,Uruguay,1986,0,0,0,draw
Morocco,Poland,1986,0,0,0,draw
Portugal,England,1986,1,0,1,win
England,Morocco,1986,0,0,0,draw
Poland,Portugal,1986,1,0,1,win
England,Poland,1986,3,0,3,win
Portugal,Morocco,1986,1,3,4,lose
Mexico,Bulgaria,1986,2,0,2,win
Soviet Union,Belgium,1986,3,4,7,lose
Brazil,Poland,1986,4,0,4,win
Argentina,Uruguay,1986,1,0,1,win
Italy,France,1986,0,2,2,lose
Morocco,West Germany,1986,0,1,1,lose
England,Paraguay,1986,3,0,3,win
Denmark,Spain,1986,1,5,6,lose
Brazil,France,1986,1,1,2,draw
West Germany,Mexico,1986,0,0,0,draw
Argentina,England,1986,2,1,3,win
Spain,Belgium,1986,1,1,2,draw
France,West Germany,1986,0,2,2,lose
Argentina,Belgium,1986,2,0,2,win
Belgium,France,1986,2,4,6,lose
Argentina,West Germany,1986,3,2,5,win
Cameroon,Colombia,1990,2,1,3,win
Czechoslovakia,Costa Rica,1990,4,1,5,win
Brazil,Argentina,1990,0,1,1,lose
West Germany,Netherlands,1990,2,1,3,win
Republic of Ireland,Romania,1990,0,0,0,draw
Italy,Uruguay,1990,2,0,2,win
Spain,Yugoslavia,1990,1,2,3,lose
England,Belgium,1990,1,0,1,win
Argentina,Yugoslavia,1990,0,0,0,draw
Republic of Ireland,Italy,1990,0,1,1,lose
Czechoslovakia,West Germany,1990,0,1,1,lose
Cameroon,England,1990,2,3,5,lose
Argentina,Italy,1990,1,1,2,draw
West Germany,England,1990,1,1,2,draw
Italy,England,1990,2,1,3,win
West Germany,Argentina,1990,1,0,1,win
Italy,Austria,1990,1,0,1,win
United States,Czechoslovakia,1990,1,5,6,lose
Italy,United States,1990,1,0,1,win
Austria,Czechoslovakia,1990,0,1,1,lose
Italy,Czechoslovakia,1990,2,0,2,win
Austria,United States,1990,2,1,3,win
Argentina,Cameroon,1990,0,1,1,lose
Soviet Union,Romania,1990,0,2,2,lose
Argentina,Soviet Union,1990,2,0,2,win
Cameroon,Romania,1990,2,1,3,win
Argentina,Romania,1990,1,1,2,draw
Cameroon,Soviet Union,1990,0,4,4,lose
Brazil,Sweden,1990,2,1,3,win
Costa Rica,Scotland,1990,1,0,1,win
Brazil,Costa Rica,1990,1,0,1,win
Sweden,Scotland,1990,1,2,3,lose
Brazil,Scotland,1990,1,0,1,win
Sweden,Costa Rica,1990,1,2,3,lose
United Arab Emirates,Colombia,1990,0,2,2,lose
West Germany,Yugoslavia,1990,4,1,5,win
Yugoslavia,Colombia,1990,1,0,1,win
West Germany,United Arab Emirates,1990,5,1,6,win
West Germany,Colombia,1990,1,1,2,draw
Yugoslavia,United Arab Emirates,1990,4,1,5,win
Belgium,South Korea,1990,2,0,2,win
Uruguay,Spain,1990,0,0,0,draw
Belgium,Uruguay,1990,3,1,4,win
South Korea,Spain,1990,1,3,4,lose
Belgium,Spain,1990,1,2,3,lose
South Korea,Uruguay,1990,0,1,1,lose
England,Republic of Ireland,1990,1,1,2,draw
Netherlands,Egypt,1990,1,1,2,draw
England,Netherlands,1990,0,0,0,draw
Republic of Ireland,Egypt,1990,0,0,0,draw
England,Egypt,1990,1,0,1,win
Republic of Ireland,Netherlands,1990,1,1,2,draw
United States,Switzerland,1994,1,1,2,draw
Colombia,Romania,1994,1,3,4,lose
Romania,Switzerland,1994,1,4,5,lose
United States,Colombia,1994,2,1,3,win
Switzerland,Colombia,1994,0,2,2,lose
United States,Romania,1994,0,1,1,lose
Cameroon,Sweden,1994,2,2,4,draw
Brazil,Russia,1994,2,0,2,win
Brazil,Cameroon,1994,3,0,3,win
Sweden,Russia,1994,3,1,4,win
Russia,Cameroon,1994,6,1,7,win
Brazil,Sweden,1994,1,1,2,draw
Germany,Bolivia,1994,1,0,1,win
