team,confed,status_2026
Algeria,CAF,qualified
Argentina,CONMEBOL,qualified
Australia,AFC,qualified
Austria,UEFA,qualified
Belgium,UEFA,qualified
Brazil,CONMEBOL,qualified
Canada,CONCACAF,host
Cape Verde,CAF,qualified
Colombia,CONMEBOL,qualified
Croatia,UEFA,qualified
Curacao,CONCACAF,qualified
Ecuador,CONMEBOL,qualified
Egypt,CAF,qualified
England,UEFA,qualified
France,UEFA,qualified
Germany,UEFA,qualified
Ghana,CAF,qualified
Haiti,CONCACAF,qualified
Iran,AFC,qualified
Ivory Coast,CAF,qualified
Japan,AFC,qualified
Jordan,AFC,qualified
Mexico,CONCACAF,host
Morocco,CAF,qualified
Netherlands,UEFA,qualified
New Zealand,OFC,qualified
Norway,UEFA,qualified
Panama,CONCACAF,qualified
Paraguay,CONMEBOL,qualified
Portugal,UEFA,qualified
Qatar,AFC,qualified
Saudi Arabia,AFC,qualified
Scotland,UEFA,qualified
Senegal,CAF,qualified
South Africa,CAF,qualified
South Korea,AFC,qualified
Spain,UEFA,qualified
Switzerland,UEFA,qualified
Tunisia,CAF,qualified
United States,CONCACAF,host
Uruguay,CONMEBOL,qualified
Uzbekistan,AFC,qualified
Bolivia,CONMEBOL,inter_playoff
DR Congo,CAF,inter_playoff
Iraq,AFC,inter_playoff
Jamaica,CONCACAF,inter_playoff
New Caledonia,OFC,inter_playoff
Suriname,CONCACAF,inter_playoff
Albania,UEFA,uefa_playoff
Bosnia and Herzegovina,UEFA,uefa_playoff
Czechia,UEFA,uefa_playoff
Denmark,UEFA,uefa_playoff
Italy,UEFA,uefa_playoff
Kosovo,UEFA,uefa_playoff
Poland,UEFA,uefa_playoff
Ireland,UEFA,uefa_playoff
Slovakia,UEFA,uefa_playoff
TÃ¼rkiye,UEFA,uefa_playoff
Ukraine,UEFA,uefa_playoff
Wales,UEFA,uefa_playoff
Romania,UEFA,uefa_playoff
Sweden,UEFA,uefa_playoff
Northern Ireland,UEFA,uefa_playoff
North Macedonia,UEFA,uefa_playoff